SECTION NAME,ID,RULE TEXT,POSITIVE,NEGATIVE,COMMENTARY
Packages,p42n6,"(N6)  The reference to a property other than predeclared properties must be an property name qualified with a property set name separated by a double colon (вЂњ::вЂќ). The property set name must be listed in the with declaration of the package with the reference. Predeclared properties may be, but are not required to be qualified by the property set name.",0,0,0
Packages,p42n7,(N7)  The package name in a import_declaration must exist in the global name space.,0,0,Checked by DFS during processing package nodes
Packages,p42n8,(N8)  The property set identifier in a import_declaration must exist in the global name space.,0,0,Checked by DFS during processing package nodes
Packages,p42n9,(N9)  Items declared in the private section of the package can only be referenced from within the private section of the package.,0,0,0
Packages,p42n10,"(N10) If the qualifying package identifier of a qualified reference is missing, the referenced component classifier, feature  group type, or item in an annex library must exist in the same package as the reference.",0,0,0
Packages,p42n11,(N11) The package name referenced in an alias_declaration must exist in the global namespace and must be  listed in the import_declaration.,0,0,0
Packages,p42n12,(N12) The classifier referenced by the alias_declaration must exist in the name space of the public section of the  package being referenced by the alias_declaration.,0,0,0
Packages,p42n13,(N13) The classifier referenced by the alias declaration must refer to a component type or a feature group type.,0,0,0
Packages,p42n14,(N14) The defining identifier of an alias_declaration must be unique in the namespace of the package containing  the alias_declaration. If an alias_declaration defines an alias for a package then the alias name must not conflict with any package name listed in an import_declaration or that of the package containing the alias_declaration.,0,0,0
Packages,p42n15,(N15) The alias_declaration makes the publicly visible identifier of classifiers declared in another package  accessible in the name space of the package containing the alias_declaration. If the alias declaration for a classifier does not include a defining identifier then the referenced classifier identifier is used as defining identifier and this identifier must be unique in the namespace of the package with the alias declaration.,0,0,0
Packages,p42n16,"(N16) If the alias_declaration renames all publicly visible identifiers of component types and feature group types  by naming the package and all, then all those identifiers must also be unique in the namespace of the package with the alias declaration.",0,0,0
Packages,p42n17,"(N17) The identifiers introduced by the alias_declaration are only accessible within the package. When declared in  the public package section, they can be referenced within the public and private package section, but not from other packages. When declared in the private package section, they can be referenced within the private package section only.",0,0,0
Packages,p42n18,(N18) The alias declared for a component type can be used instead of a qualified component type in a reference to a  component implementation.,0,0,0
Packages,p42l1,(L1)  The defining package name following the reserved word end must be identical to the defining package name following the reserved word package.,0,0,0
Packages,p42l2,(L2)  For each package there may be at most one public section declaration and one private section declaration. These two sections may be declared in a single package declaration or in two separate package declarations.,0,0,0
Packages,p42l3,(L3)  A component implementation may be declared in both the public and private part of a package. In that case the declaration in the public part may only contain a properties subclause and a modes subclause.,0,0,0
Packages,p42l4,(L4)  The component category in an alias declaration must match the category of the referenced component type.,0,0,0
Component Types,p43n1,(N1)  The defining identifier for a component type must be unique in the namespace of the package within which it is declared.,0,0,0
Component Types,p43n2,"(N2)  Each component type has a local namespace for defining identifiers of prototypes, features, modes, mode transitions, and flow specifications. That is, defining prototype, defining feature, defining modes and mode transitions, and defining flow specification identifiers must be unique in the component type namespace.",0,0,0
Component Types,p43n3,"(N3)  The component type identifier of the ancestor in a component type extension, i.e., that appears after the reserved word extends, must be defined in the specified package namespace. If no package name is specified, then the identifier must be defined in the namespace of the package the extension is declared in.",0,0,0
Component Types,p43n4,"(N4)  When a component type extends another component type, a component type namespace includes all the identifiers in the namespaces of its ancestors.",0,0,0
Component Types,p43n5,(N5)  A component type that extends another component type does not include the identifiers of the implementations of its ancestors.,0,0,0
Component Types,p43n6,"(N6)  The defining identifier of a feature, flow specification, mode, mode transition, or prototype must be unique in the namespace of the component type.",0,0,0
Component Types,p43n7,"(N7)  The refinement identifier of a feature, flow specification, or prototype refinement refers to the closest refinement or the defining declaration of the feature going up the component type ancestor hierarchy.",0,0,0
Component Types,p43n8,(N8)  The prototypes referenced by prototype binding declarations must exist in the local namespace of the component type being extended.,0,0,0
Component Types,p43n9,(N9)  Mode transitions declared in the component type may not refer to event or event data ports of subcomponents.,0,0,0
Component Types,p43l1,(L1)  The defining identifier following the reserved word end must be identical to the defining identifier that appears after the component category reserved word.,0,0,0
Component Types,p43l2,"(L2)  The prototypes, features, flows, modes, and properties subclauses are optional. If a subclause is present but empty, then the reserved word none followed by a semi-colon must be present.",0,0,0
Component Types,p43l3,"(L3)  The category of the component type being extended must match the category of the extending component type, i.e., they must be identical or the category being extended must be abstract.",0,0,0
Component Types,p43l4,"(L4)  The classifier being extended in a component type extension may include prototype bindings. There must be at most one prototype binding for each prototype, i.e., once bound a prototype binding cannot be overwritten by a new binding in a component type extension.",0,0,0
Component Types,p43l5,(L5)  A component type must not contain both a requires_modes_subclause and a modes_subclause.,0,0,0
Component Types,p43l6,"(L6)  If the extended component type and an ancestor component type in the extends hierachy contain modes subclauses, they must both be requires_modes_subclause or modes_subclause. Standard Properties Classifier_Substitution_Rule: inherit enumeration (Classifier_Match, Signature_Match) Type_Extension, Prototype_Substitution_Rule: inherit enumeration (Classifier_Match, Type_Extension, Signature_Match)",0,0,0
Component Implementations,p44n1,"(N1)  A component implementation name consists of a component type identifier and a component implementation identifier separated by a dot (вЂњ.вЂќ). The first identifier of the defining component implementation name must name a component type that is declared in the same package as the component implementation, or name an alias to a component type in another package.",0,0,0
Component Implementations,p44n2,(N2)  The defining identifier of the component implementation must be unique within the local namespace of the component type.,0,0,0
Component Implementations,p44n3,"(N3)  Every component implementation defines a local namespace for all defining identifiers of prototypes, subcomponents, subprogram calls, connections, flows, and modes declared within the component implementation. The defining identifier of a prototype, subcomponent, subprogram call, connection, flow, or mode must be unique within this namespace. For example, a subcomponent and a mode cannot have the same defining identifier within the same component implementation, or a mode with the same defining identifier cannot be declared in a component type and a component implementation.",0,0,0
Component Implementations,p44n4,"(N4)  This local namespace inherits the namespace of the associated component type, i.e., defining identifiers must be unique within the local namespace and also within the component type namespace.",0,0,0
Component Implementations,p44n5,"(N5)  Refinement identifiers of features must exist in the namespace of the associated component type or one of the component typeвЂ™s ancestors. Refinement identifiers of prototype, subcomponent, and connection refinements must exist in the local namespace of an ancestor component implementation.",0,0,0
Component Implementations,p44n6,"(N6)  In a component implementation extension, the component type identifier of the component implementation being extended, which appears after the reserved word extends, must be the same as or an ancestor of the component type of the extension. The component implementation being extended may exist in another package. In this case the component implementation name is qualified with the package name.",0,0,0
Component Implementations,p44n7,"(N7)  When a component implementation extends another component implementation, the local namespace of the extension is a superset of the local namespace of the ancestor. That is, the local namespace of a component implementation inherits all the identifiers in the local namespaces of its ancestors (including the identifiers of their respective component type namespaces). SAE AS5506B - 42 -",0,0,0
Component Implementations,p44n8,"(N8)  Within the scope of the component implementation, subcomponent declarations, connections, subprogram call sequences, mode transitions, and property associations can refer directly to identifiers in the local namespace, i.e., to declared prototypes, subcomponents, connections, and modes, as well as to required bus, data, subprogram, and subprogram group subcomponents and features declared in the associated component type.",0,0,0
Component Implementations,p44n9,"(N9)  The prototype referenced by the prototype binding declaration must exist in the local namespace of the component implementation being extended. In other words, prototype binding declarations may bind prototypes of the component type and of the component implementation.",0,0,0
Component Implementations,p44l1,(L1)  The pair of identifiers separated by a dot (вЂњ.вЂќ) following the reserved word end must be identical to the pair of identifiers following the reserved word implementation.,0,0,0
Component Implementations,p44l2,"(L2)  The prototypes, subcomponents, connections, calls, flows, modes, and properties subclauses are optional. If they are present and the set of feature or required subcomponent declarations or property associations is empty, none followed by a semi-colon must be present in that subclause.",0,0,0
Component Implementations,p44l3,(L3)  The category of the component implementation must be identical to the category of the component type for which the component implementation is declared.,0,0,0
Component Implementations,p44l4,"(L4)  If the component implementation extends another component implementation, the category of both must match, i.e., they must be identical or the category being extended must be abstract.",0,0,0
Component Implementations,p44l5,(L5)  The classifier being extended in a component implementation extension may include prototype bindings. There must be at most one prototype binding for each unbound prototype.,0,0,0
Component Implementations,p44l6,(L6)  If the component type of the component implementation contains a requires_modes_subclause then the component implementation must not contain any modes subclause.,0,0,0
Component Implementations,p44l7,"(L7)  If modes are declared in the component type, then modes cannot be declared in component implementations.",0,0,0
Component Implementations,p44l8,"(L8)  If modes or mode transitions are declared in the component type, then mode transitions can be added in the component implementation. These mode transitions may refer to event or event data ports of the component type and of subcomponents.",0,0,0
Component Implementations,p44l9,"(L9)  The category of a subcomponent being refined must match the category of the refining subcomponent declaration, i.e., they must be identical or the category being refined must be abstract.",0,0,0
Component Implementations,p44l10,(L10) For all other refinement declarations the categories must match (see the respective sections).,0,0,0
Component Implementations,p44l11,(L11) Component implementations and component implementation extensions must not refine prototypes declared in a  component type.,0,0,0
Subcomponents,p45n1,(N1)  The defining identifier of a subcomponent declaration placed in a component implementation must be unique within the local namespace of the component implementation that contains the subcomponent.,0,0,0
Subcomponents,p45n2,(N2)  The defining identifier of a subcomponent refinement must exist as a defining subcomponent identifier in the local namespace of an ancestor component implementation.,0,0,0
Subcomponents,p45n3,(N3)  The component type identifier or the component implementation name of a component classifier reference must exist in the package namespace.,0,0,0
Subcomponents,p45n4,(N4)  The prototype identifier of a prototype reference must exist in the local name space of the component implementation.,0,0,0
Subcomponents,p45n5,(N5)  The prototype referenced by the prototype binding declarations must exist in the local namespace of the component classifier being referenced.,0,0,0
Subcomponents,p45n6,"(N6)  The modes named in the in modes statement of a subcomponent must refer to modes in the component implementation that contains the subcomponent or its component type. The modes named in the in modes statement of a property association of a subcomponent must refer to modes of the subcomponent, or in the case of a contained property association to modes of the last component in the component path (see Section 11.3).",0,0,0
Subcomponents,p45l1,"(L1)  The category of the subcomponent declaration must match the category of its corresponding component classifier reference or its prototype reference, i.e., they must be identical, or in the case of a classifier reference the referenced classifier category may be abstract.",0,0,0
Subcomponents,p45l2,(L2)  The component classifier reference of a subcomponent declaration may include prototype bindings for a subset or all of the component classifier prototypes. This represents an unnamed component classifier extension of the referenced classifier.,0,0,0
Subcomponents,p45l3,(L3)  In a subcomponent refinement declaration the component category may be refined from abstract to one of the concrete component categories. Otherwise the category must be the same as that of the subcomponent being refined.,0,0,0
Subcomponents,p45l4,"(L4)  The Classifier_Substitution_Rule property specifies the rule to be applied when a refinement supplies a classifier and the original subcomponent declaration already has a component classifier. This property can be applied to individual subcomponents or features, or it can be inherited from classifiers. The following rules are supported: вЂў вЂў вЂў Classifier_Match: The component type of the refinement must be identical to the component type of the classifier being refined. If the original declaration specifies a component implementation, then any implementation of that type can replace this original implementation. This is the default rule. Type_Extension: Any component classifier whose component type is an extension of the component type of the classifier in the subcomponent being refined is an acceptable substitute. Signature_Match: The component type of the refinement must match the signature of the component type of the classifier being refined. ",0,0,0
Subcomponents,p45l5,"(L5)  In the case of a signature match, the component type of the subcomponent being refined must have a subset of the features of the component type in the refinement. The features are compared by name matching; the feature categories and direction (in data port, provides data access, etc.) must be the same and any feature classifier must match according to rules defined for Classifier_Match. In addition, if flow specifications are present in the component type being refined, then the component type of the refinement must have at least the same set of flow specifications. Flow specifications with the same name must have the same source and destination ports.",0,0,0
Subcomponents,p45l6,(L6)  The component category and optional component classifier or prototype reference can be followed by a set of array dimensions to define the subcomponent as an array of actual subcomponents.,0,0,0
Subcomponents,p45l7,(L7)  The array size specification for the dimensions is optional. In this case the array declaration is considered incomplete. If the size of the array dimension is specified it must be specified for all dimensions in the same declaration.,0,0,0
Subcomponents,p45l8,"(L8)  When refining a subcomponent array the number of dimensions of the array cannot be changed, but the array size can be specified for each dimension if it was not specified in the subcomponent declaration being refined.",0,0,0
Subcomponents,p45l9,"(L9)  When the subcomponent is declared as an array with array dimension sizes then a list of component implementations can be supplied, one for each element of the array. Different implementations of the same component type can be chosen. The number of elements in the list must correspond to the number of elements in the component array. In the case of multi-dimensional arrays, the list elements are assigned by incrementing the index of the last dimension first.",0,0,0
Subcomponents,p45l10,(L10) Selecting index ranges in one or more dimensions of an array is only possible if the size of the array for these  dimensions is already defined. The index range of a dimension is from 1 to the size of the dimension. Specification of array index ranges is limited to the applies to subclause of contained property associations. Specification of a single array element is limited to the applies to subclause of contained property associations and to the values of reference properties.,0,0,0
Subcomponents,p45l11,(L11) An array element implementation list is valid only if (a) the subcomponent classifier is a component type and (b) all  component implementations in the list are implementations of the specified type.,0,0,0
Subcomponents,p45c1,"(C1) The classifier of a subcomponent cannot recursively contain subcomponents with the same component classifier.  In other words, there cannot be a cyclic containment dependency between components. Standard Properties Classifier_Substitution_Rule: inherit enumeration (Classifier_Match, Signature_Match) Type_Extension, Acceptable_Array_Size: list of Size_Range",0,0,0
Abstract Components,p46l1,"(L1)  An abstract component type declaration can contain feature declarations (including abstract feature declarations), flow declarations, as well as property associations.",0,0,0
Abstract Components,p46l2,(L2)  An abstract component implementation can contain subcomponent declarations of any category. Certain combinations of subcomponent categories are only acceptable if they are acceptable in one of the concrete component categories.,0,0,0
Abstract Components,p46l3,"(L3)  An abstract component implementation can contain a modes subclause, a connections subclause, a flows subclause, and property associations.",0,0,0
Abstract Components,p46l4,(L4)  An abstract subcomponent can be contained in the implementation of any component category.,0,0,0
Abstract Components,p46l5,"(L5)  If an abstract subcomponent is refined to a concrete category, the concrete category must be acceptable to the component implementation category whose subcomponent is being refined.",0,0,0
Abstract Components,p46l6,(L6)  An abstract subcomponent can be declared as an array of subcomponents.,0,0,0
Abstract Components,p46l7,"(L7)  If an abstract component type is refined to a concrete category, the features, modes, and flow specifications of the abstract component type must be acceptable for the concrete component type.",0,0,0
Abstract Components,p46l8,"(L8)  If an abstract component implementation is refined to a concrete category, the subcomponents, call sequences, modes, flow implementations, and end-to-end flows of the abstract component implementation must be acceptable for the concrete component implementation. Standard Properties (2) An abstract component can have property associations of properties that apply to any concrete category. However, when refined to a concrete category, properties that do not apply to the concrete category will be ignored. A method of processing may provide a warning about ignored propertie",0,0,0
Prototypes,p47n1,(N1)  The prototype identifier on the left-hand side of a prototype binding must exist in the local namespace of the classifier for which the prototype binding is defined.,0,0,0
Prototypes,p47n2,"(N2)  The prototype identifier on the right-hand side of a prototype binding, if present, must exist in the local namespace of the classifier that contains the prototype binding.",0,0,0
Prototypes,p47n3,(N3)  Unique component classifier references must exist in the public section of the package being identified in the reference.,0,0,0
Prototypes,p47n4,(N4)  Unique feature group type references must exist in the public section of the package being identified in the reference.,0,0,0
Prototypes,p47l1,"(L1)  The component category declared in the component prototype binding must match the component category of the prototype being referenced, i.e., they must be identical, or the declared category component category of the prototype must be abstract.",0,0,0
Prototypes,p47l2,(L2)  The component category of the optional component classifier reference in the prototype declaration must match the category in the prototype declaration.,0,0,0
Prototypes,p47l3,"(L3)  If the component prototype only specifies a component category, then any component type and component implementation of that category is acceptable; in the case of the category abstract any component type and component implementation of any category is acceptable.",0,0,0
Prototypes,p47l4,"(L4)  If the component prototype declaration includes a component classifier reference, then the classifier supplied in the prototype binding must match according to the Prototype_Substitution_Rule property. This property specifies the rules to be applied to determine an acceptable classifier supplied to the prototype. This property can be associated with a prototype declaration or the enclosing component type or component implementation. The rules are the same as those of the Classifier_Substitution_Rule property.",0,0,0
Prototypes,p47l5,"(L5)  The category of the component implementation that contains the prototype declaration places restrictions on the set of acceptable categories for the prototype declaration and the supplied classifiers. The nesting rules for each category are defined in the respective component category section of this document. For example, if the component implementation is a thread group implementation, then the prototype referenced in a subcomponent declaration must be of the category thread group, thread, subprogram, subprogram group, data, or abstract.",0,0,0
Prototypes,p47l6,"(L6)  If the direction is declared for feature prototypes, then the prototype actual satisfies the direction according to the same rules as for feature refinements (see Section 8); in the case of ports the direction must be in or out; in the case of data access, the access right must be read-only for in and write-only for out; in the case of bus access, subprogram access and subprogram group access the direction is ignored.",0,0,0
Prototypes,p47l7,"(L7)  In the case of feature group prototypes, the supplied feature group types must match the declared feature group type, if any. The Prototype_Substitution_Rule property rules apply to feature group types instead of component types.",0,0,0
Prototypes,p47l8,"(L8)  A classifier supplied in a feature prototype binding must match the classifier of the prototype declaration, if present, according to the Prototype_Substitution_Rule property rules.",0,0,0
Prototypes,p47l9,(L9)  Component prototypes declared with square brackets specify that they expect a list of component classifiers. These prototypes can only be referenced in subcomponent array declarations. The component classifier list supplies the classifiers for each of the elements in the component array.,0,0,0
Prototypes,p47l10,(L10) The component category of the classifier reference or prototype reference in a prototype binding declaration must  match the category of the prototype.,0,0,0
Prototypes,p47l11,"(L11) If a direction is specified for an abstract feature in a prototype declaration, then the direction of the prototype actual  must match that declared in the prototype.",0,0,0
Prototypes,p47l12,"(L12) Component prototype bindings must only bind component prototypes, feature group prototype bindings must only  bind feature group prototypes, and feature bindings must only bind feature prototypes.",0,0,0
Prototypes,p47l13,"(L13) Component prototype refinements must only refine component prototypes, feature group prototype refinements  must only refine feature group prototypes, and feature refinements must only refine feature prototypes. SAE AS5506B - 58 - Standard Properties Prototype_Substitution_Rule: inherit enumeration (Classifier_Match, Type_Extension, Signature_Match)",0,0,0
Annex Subclauses and Annex Libraries,p48n1,(N1)  The annex identifier must be the name of an approved annex or a project-specific identifier different from the approved annex identifiers.,0,0,0
Annex Subclauses and Annex Libraries,p48n2,(N2)  The mode identifiers in the in_modes statement must refer to modes in the component type or component implementation for which the annex subclause is declared.,0,0,0
Annex Subclauses and Annex Libraries,p48l1,"(L1)  Annex subclauses can only be declared in component types, component implementations, and feature group types.",0,0,0
Annex Subclauses and Annex Libraries,p48l2,"(L2)  A component type, component implementation, or feature group type declaration may contain at most one annex subclause for each annex. If the annex subclause has an in_modes statement, then there must be at most one annex subclause per mode for each annex.",0,0,0
Annex Subclauses and Annex Libraries,p48l3,(L3)  Annex libraries must be declared in packages.,0,0,0
Annex Subclauses and Annex Libraries,p48l4,(L4)  A package declaration may contain at most one annex library declaration for each annex.,0,0,0
Data,p51l1,(L1)  A data type declaration can contain provides subprogram access declarations as well as property associations.,0,0,0
Data,p51l2,(L2)  A data type declaration must not contain a flow specification or modes subclause.,0,0,0
Data,p51l3,"(L3)  A data implementation can contain abstract, data and subprogram subcomponents, access connections, and data property associations.",0,0,0
Data,p51l4,"(L4)  A data implementation must not contain a flow implementation, an end-to-end flow specification, or a modes subclause. Standard Properties Source_Data_Size: Size Source_Code_Size: Size Type_Source_Name: aadlstring Source_Name: aadlstring Source_Text: inherit list of aadlstring -- hardware mapping Base_Address: aadlinteger 0 .. Max_Base_Address Allowed_Memory_Binding_Class: inherit list of classifier (memory, system, processor) Allowed_Memory_Binding: inherit list of reference (memory, system, processor) Actual_Memory_Binding: inherit list of reference (memory) -- Data sharing properties Access_Right : Access_Rights => read_write Concurrency_Control_Protocol: Supported_Concurrency_Control_Protocols SAE (5) AS5506B - 64 - The value of the Type_Source_Name property identifies the name of the data type declaration in the source text. The value of the Source_Name property identifies the name of the static or local data variable in the source text.",0,0,0
Subprograms and Subprogram Calls,p52n1,(N1)  The defining identifier of a subprogram call sequence declaration must be unique within the local namespace of the component implementation that contains the subprogram call sequence.,0,0,0
Subprograms and Subprogram Calls,p52n2,(N2)  The defining identifier of a subprogram call declaration must be unique within the local namespace of the component implementation that contains the subprogram call.,0,0,0
Subprograms and Subprogram Calls,p52n3,"(N3)  If the called subprogram name is a subprogram classifier reference, its component type identifier or component implementation name must exist in the package namespace.",0,0,0
Subprograms and Subprogram Calls,p52n4,(N4)  The subprogram classifier reference of a subprogram call may be a subprogram type reference.,0,0,0
Subprograms and Subprogram Calls,p52n5,"(N5)  If the called subprogram name is a subprogram subcomponent reference, the subprogram subcomponent must exist in the component implementation containing the subprogram call declaration.",0,0,0
Subprograms and Subprogram Calls,p52n6,"(N6)  If the called subprogram name is a requires subprogram access reference, the requires subprogram access must exist in the component type of the component implementation containing the subprogram call declaration.",0,0,0
Subprograms and Subprogram Calls,p52l1,"(L1)  A subprogram type declaration can contain parameter, out event port, out event data port, and feature group declarations as well as requires data, subprogram, and subprogram group access declarations. It can also contain a flow specification subclause, a modes subclause, and property associations.",0,0,0
Subprograms and Subprogram Calls,p52l2,"(L2)  A subprogram implementation can contain abstract, subprogram, and data subcomponents, a subprogram calls subclause, a connections subclause, a flows subclause, a modes subclause, and property associations.",0,0,0
Subprograms and Subprogram Calls,p52l3,(L3)  Only one subprogram call sequence can apply to a given mode.,0,0,0
Subprograms and Subprogram Calls,p52c1,(C1) The reference to a provides subprogram access of a processor in a subprogram call (processor .  provides_subprogram_access_identifier) must identify a provides subprogram access feature of the processor that the thread executing the call is bound to.,0,0,0
Subprograms and Subprogram Calls,p52c2,"(C2) A subprogram call may reference a subprogram classifier. A project may enforce a consistency rule that this  reference be to a subprogram subcomponent declaration or requires subprogram access declaration. This ensures that a modeler consistently models subprogram calls the same way. Standard Properties -- Properties related to source text Source_Name: aadlstring Source_Text: inherit list of aadlstring Source_Language: inherit list of Supported_Source_Languages Type_Source_Name: aadlstring -- Properties specifying memory requirements of subprograms Source_Code_Size: Size Source_Data_Size: Size Source_Stack_Size: Size SAE AS5506B - 71 - Source_Heap_Size: Size Allowed_Memory_Binding_Class: inherit list of classifier (memory, system, processor) Allowed_Memory_Binding: inherit list of reference (memory, system, processor) Actual_Memory_Binding: inherit list of reference (memory) -- execution related properties Compute_Execution_Time: Time_Range Compute_Deadline: Time Client_Subprogram_Execution_Time: Time_Range Reference_Processor: inherit classifier ( processor ) -- remote subprogram call related properties Urgency: aadlinteger 0 .. Max_Urgency Actual_Subprogram_Call: reference (subprogram) Allowed_Subprogram_Call: list of reference (subprogram) Actual_Subprogram_Call_Binding: list of reference (bus, processor, memory, device) Allowed_Subprogram_Call_Binding: inherit list of reference (bus, processor, device) Subprogram_Call_Type: enumeration (Synchronous, SemiSynchronous) => Synchronous",0,0,0
Subprogram Groups and Subprogram Group Types,p53n1,(N1)  The defining identifier of a subprogram group type must be unique within the package namespace of the package where the subprogram group type is declared.,0,0,0
Subprogram Groups and Subprogram Group Types,p53n2,(N2)  Each subprogram group provides a local namespace. The defining subprogram identifiers of subprogram declarations in a subprogram group type must be unique within the namespace of the subprogram group type.,0,0,0
Subprogram Groups and Subprogram Group Types,p53n3,"(N3)  The local namespace of a subprogram group type extension includes the defining identifiers in the local namespace of the subprogram group type being extended. This means, the defining identifiers of subprogram or subprogram group declarations in a subprogram group type extension must not exist in the local namespace of the subprogram group type being extended. The defining identifiers of subprogram or subprogram group refinements in a subprogram group type extension must refer to a subprogram or subprogram group in the local namespace of an ancestor subprogram group type.",0,0,0
Subprogram Groups and Subprogram Group Types,p53n4,(N4)  The defining subprogram identifiers of subprogram access feature declarations in feature group refinements must not exist in the local namespace of any subprogram group being extended. The defining subprogram identifier of subprogram_refinement declarations in subprogram group refinements must exist in the local namespace of any feature group being extended.,0,0,0
Subprogram Groups and Subprogram Group Types,p53n5,(N5)  The package name of the unique subprogram group type reference must refer to a package name in the global namespace. The subprogram group type identifier of the unique subprogram group type reference must refer to a subprogram group type identifier in the named package.,0,0,0
Subprogram Groups and Subprogram Group Types,p53l1,"(L1)  A subprogram group type can contain provides and requires subprogram access, and provides and requires subprogram group access.",0,0,0
Subprogram Groups and Subprogram Group Types,p53l2,"(L2)  A subprogram group implementation can contain abstract, data, subprogram group, and subprogram subcomponents as well as data and subprogram access connections.",0,0,0
Subprogram Groups and Subprogram Group Types,p53l3,"(L3)  A subprogram group type or implementation may contain zero or more subcomponent declarations. If it contains zero elements, then the subprogram group type or implementation is considered to be incompletely specified.",0,0,0
Threads,p54l1,"(L1)  A thread type declaration can contain port, feature group, requires data access declarations, as well as requires and provides subprogram access declarations. It can also contain flow specifications, a modes subclause, and property associations.",0,0,0
Threads,p54l2,"(L2)  A thread component implementation can contain abstract, data, subprogram, and subprogram group subcomponent declarations, a calls subclause, a flows subclause, a modes subclause, and thread property associations.",0,0,0
Threads,p54l3,"(L3)  The Complete out event port, and Error out event data port are predeclared, i.e., are implicitly identifiers in the name space of a thread type. Therefore, there cannot be user-defined features with those names in threads.",0,0,0
Threads,p54c3,"(C3) Either  the Compute_Entrypoint, Compute_Entrypoint_Source_Text Compute_Entrypoint_Call_Sequence property must have a value that indicates the source code to execute after a thread has been dispatched when an implementation is to be generated or consistency with source code is to be checked. Other entrypoint properties are optional, i.e., if a property value is not defined, then the entrypoint is not called.",0,0,0
Threads,p54c4,"(C4) The Period property must have a value if the Dispatch_Protocol property value is periodic, sporadic, timed, or  hybrid.",0,0,0
Thread Groups,p55l1,"(L1)  A thread group component type can contain provides and requires data access, as well as port, feature group, provides and requires subprogram access declarations, and provides and requires subprogram group access declarations. It can also contain flow specifications, modes subclauses, and property associations.",0,0,0
Thread Groups,p55l2,"(L2)  A thread group component implementation can contain abstract, data, subprogram, subprogram group, thread, and thread group subcomponent declarations.",0,0,0
Thread Groups,p55l3,"(L3)  A thread group implementation can contain a connections subclause, a flows subclause, a modes subclause, and properties subclause.",0,0,0
Thread Groups,p55l4,(L4)  A thread group must not contain a subprogram calls subclause.,0,0,0
Processes,p56l1,"(L1)  A process component type can contain port, feature group, provides and requires data access, provides and requires subprogram access declarations, and provides and requires subprogram group access declarations. It can also contain flow specifications, modes subclause, and property associations.",0,0,0
Processes,p56l2,"(L2)  A process component implementation can contain abstract, data, subprogram, subprogram group, thread, and thread group subcomponent declarations.",0,0,0
Processes,p56l3,"(L3)  A process implementation can contain a connections subclause, a flows subclause, a modes subclause, and a properties subclause.",0,0,0
Processes,p56l4,(L4)  A thread group must not contain a subprogram calls subclause.,0,0,0
Processes,p56c1,(C1) The complete source text associated with a process component must form a complete and legal program as  defined in the applicable source language standard. This source text shall include the source text that corresponds to the complete set of subcomponents in the processвЂ™s containment hierarchy along with the data and subprograms that are referenced by required subcomponent declarations.,0,0,0
Processors,p61l1,"(L1)  A processor component type can contain port, feature group, provides subprogram access, provides subprogram group access, and bus access declarations. It may contain flow specifications, a modes subclause, as well as property associations.",0,0,0
Processors,p61l2,"(L2)  A processor component implementation can contain declarations of memory, bus, virtual bus, virtual processor, and abstract subcomponents.",0,0,0
Processors,p61l3,"(L3)  A processor implementation can contain a modes subclause, flows subclause, and a properties subclause.",0,0,0
Processors,p61l4,"(L4)  A processor implementation can contain bus access, subprogram access, subprogram group access, port, feature, and feature group connection declarations.",0,0,0
